Epoch 0, Loss: 0.9462766051292419
Epoch 100, Loss: -2.265148639678955
Epoch 200, Loss: -7.9761738777160645
Epoch 300, Loss: -9.231841087341309
Epoch 400, Loss: -10.21209716796875
Epoch 500, Loss: -8.734025955200195
Epoch 600, Loss: -10.459613800048828
Epoch 700, Loss: -9.805425643920898
Epoch 800, Loss: -11.13895320892334
Epoch 900, Loss: -9.596037864685059
